"LAYER","NAME","LAT","LON"
"Brown Noddy (B)","B183",-16.60642162,145.9747546
"Brown Noddy (B)","B184",-16.60641601,145.9747522
"Brown Noddy (B)","B185",-16.60641411,145.9747466
"Brown Noddy (B)","B186",-16.60641938,145.9747506
"Brown Noddy (B)","B187",-16.60641961,145.9747604
"Brown Noddy (B)","B188",-16.60642116,145.9747589
"Brown Noddy (B)","B189",-16.60642087,145.9747649
"Brown Noddy (B)","B190",-16.60641411,145.9747742
"Brown Noddy (B)","B191",-16.60641314,145.9747704
"Brown Noddy (B)","B192",-16.60641446,145.9747703
"Brown Noddy (B)","B193",-16.60641709,145.974788
"Brown Noddy (B)","B194",-16.60643445,145.9747884
"Brown Noddy (B)","B195",-16.60643605,145.9747886
"Brown Noddy (B)","B196",-16.60641767,145.974768
"Brown Noddy (B)","B197",-16.60641321,145.9747614
"Brown Noddy (B)","B198",-16.60641263,145.974766
"Brown Noddy (B)","B199",-16.60641595,145.9747623
"Brown Noddy (B)","B200",-16.6064282,145.9747677
"Brown Noddy (B)","B201",-16.60643015,145.974767
"Brown Noddy (B)","B202",-16.60643262,145.9747773
"Brown Noddy (B)","B203",-16.60643496,145.9747741
"Brown Noddy (B)","B204",-16.6064404,145.9747529
"Brown Noddy (B)","B205",-16.60644051,145.9747474
"Brown Noddy (B)","B206",-16.60644344,145.9747445
"Brown Noddy (B)","B207",-16.60644765,145.9747464
"Brown Noddy (B)","B208",-16.60644609,145.9747514
"Brown Noddy (B)","B209",-16.60644841,145.9747516
"Brown Noddy (B)","B210",-16.60644991,145.9747496
"Brown Noddy (B)","B211",-16.60645156,145.9747459
"Brown Noddy (B)","B212",-16.60645332,145.9747509
"Brown Noddy (B)","B214",-16.60645209,145.974757
"Brown Noddy (B)","B214",-16.60644612,145.9747852
"Brown Noddy (B)","B215",-16.60644091,145.9747761
"Brown Noddy (B)","B216",-16.60643745,145.97478
"Brown Noddy (B)","B217",-16.60644255,145.9747864
"Brown Noddy (B)","B218",-16.60644415,145.9747905
"Brown Noddy (B)","B219",-16.60644069,145.974786
"Brown Noddy (B)","B220",-16.60643898,145.9747881
