OID_,LAYER,NAME,LAT,LONG
385,Noddy Sp. (B),B340,-16.606044033600000,145.974949377999991
386,Noddy Sp. (B),B341,-16.606045908199999,145.974947772000007
387,Noddy Sp. (B),B342,-16.606045826700001,145.974951857999997
388,Noddy Sp. (B),B343,-16.606042946799999,145.974952534000010
389,Noddy Sp. (B),B344,-16.606043055499999,145.974954281000009
390,Noddy Sp. (B),B345,-16.606043028300000,145.974956929999991
391,Noddy Sp. (B),B346,-16.606042349100001,145.974958339000011
392,Noddy Sp. (B),B347,-16.606043164199999,145.974960678000002
393,Noddy Sp. (B),B348,-16.606044685600001,145.974962170999987
394,Noddy Sp. (B),B349,-16.606045147500001,145.974959662999993
395,Noddy Sp. (B),B350,-16.606044739900000,145.974956394999992
396,Noddy Sp. (B),B351,-16.606046370100000,145.974956337999998
397,Noddy Sp. (B),B352,-16.606046288600002,145.974959127999995
398,Noddy Sp. (B),B353,-16.606044305200001,145.974964199999988
399,Noddy Sp. (B),B354,-16.606042403400000,145.974964510000007
400,Noddy Sp. (B),B355,-16.606041669900002,145.974968200999996
401,Noddy Sp. (B),B356,-16.606041099300000,145.974971525999990
402,Noddy Sp. (B),B357,-16.606043979199999,145.974970089000010
403,Noddy Sp. (B),B358,-16.606044495399999,145.974972850000000
404,Noddy Sp. (B),B359,-16.606047130800000,145.974973526000014
405,Noddy Sp. (B),B360,-16.606042484900001,145.974975583000003
406,Noddy Sp. (B),B361,-16.606044821499999,145.974975610999991
407,Noddy Sp. (B),B362,-16.606045174700000,145.974977977999998
408,Noddy Sp. (B),B363,-16.606044142199998,145.974979753000014
409,Noddy Sp. (B),B364,-16.606042729399999,145.974981331000009
410,Noddy Sp. (B),B365,-16.606040691800001,145.974980429999988
411,Noddy Sp. (B),B366,-16.606046696100002,145.974980119999998
412,Noddy Sp. (B),B367,-16.606047049299999,145.974981810000003
413,Noddy Sp. (B),B368,-16.606049032600001,145.974982570999998
414,Noddy Sp. (B),B369,-16.606045908199999,145.974984740999986
415,Noddy Sp. (B),B370,-16.606044413900001,145.974981839000009
